"canonical_title_key","representative_title","shelves","catalog_row_count","titles","uris","repository_trace","reading_status"
"bioinorganic chemistry bertini et al","Bioinorganic Chemistry (Bertini et al.)","Inorganic_Chemistry","1","Bioinorganic Chemistry (Bertini et al.)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Book3A_Bioinorganic_Chemistry_(Bertini_et_al.)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"catalytic asymmetric synthesis punniyamurthy","Catalytic Asymmetric Synthesis (Punniyamurthy)","Organic_Chemistry","1","Catalytic Asymmetric Synthesis (Punniyamurthy)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Catalytic_Asymmetric_Synthesis_(Punniyamurthy)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chem1 lower","Chem1 (Lower)","General_Chemistry","1","Chem1 (Lower)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Chem1_(Lower)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemical group theory miller","Chemical Group Theory (Miller)","Inorganic_Chemistry","1","Chemical Group Theory (Miller)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Chemical_Group_Theory_(Miller)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemical principles dickerson","Chemical Principles (Dickerson)","General_Chemistry","1","Chemical Principles (Dickerson)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemical_Principles_(Dickerson)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemical thermodynamics supplement to shepherd et al","Chemical Thermodynamics (Supplement to Shepherd, et al.)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Chemical Thermodynamics (Supplement to Shepherd, et al.)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Chemical_Thermodynamics_(Supplement_to_Shepherd_et_al.)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry 1e openstax","Chemistry 1e (OpenSTAX)","General_Chemistry","1","Chemistry 1e (OpenSTAX)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_1e_(OpenSTAX)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry 2e openstax","Chemistry 2e (OpenStax)","General_Chemistry","1","Chemistry 2e (OpenStax)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry and global awareness gordon","Chemistry and Global Awareness (Gordon)","Introductory_Chemistry","1","Chemistry and Global Awareness (Gordon)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Chemistry_and_Global_Awareness_(Gordon)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry atoms first 1e openstax","Chemistry - Atoms First 1e (OpenSTAX)","General_Chemistry","1","Chemistry - Atoms First 1e (OpenSTAX)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_-_Atoms_First_1e_(OpenSTAX)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry atoms first 2e openstax","Chemistry - Atoms First 2e (OpenStax)","General_Chemistry","1","Chemistry - Atoms First 2e (OpenStax)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_-_Atoms_First_2e_(OpenStax)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry chemical reactivity kotz et al","Map: Chemistry & Chemical Reactivity (Kotz et al.)","General_Chemistry","1","Map: Chemistry & Chemical Reactivity (Kotz et al.)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Map%3A_Chemistry_and_Chemical_Reactivity_(Kotz_et_al.)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry for allied health soult","Chemistry for Allied Health (Soult)","Introductory_Chemistry","1","Chemistry for Allied Health (Soult)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Chemistry_for_Allied_Health_(Soult)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry for changing times hill and mccreary","Chemistry for Changing Times (Hill and McCreary)","Environmental_Chemistry;Introductory_Chemistry","2","Chemistry for Changing Times (Hill and McCreary)","https://chem.libretexts.org/Bookshelves/Environmental_Chemistry/Chemistry_for_Changing_Times_(Hill_and_McCreary);https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Chemistry_for_Changing_Times_(Hill_and_McCreary)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry labs trufan and bouhoutsos brown","Chemistry Labs (Trufan and Bouhoutsos-Brown)","General_Chemistry","1","Chemistry Labs (Trufan and Bouhoutsos-Brown)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_Labs_(Trufan_and_Bouhoutsos-Brown)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry of cooking rodriguez velazquez","Chemistry of Cooking (Rodriguez-Velazquez)","Biological_Chemistry","1","Chemistry of Cooking (Rodriguez-Velazquez)","https://chem.libretexts.org/Bookshelves/Biological_Chemistry/Chemistry_of_Cooking_(Rodriguez-Velazquez)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry of the main group elements barron","Chemistry of the Main Group Elements (Barron)","Inorganic_Chemistry","1","Chemistry of the Main Group Elements (Barron)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Chemistry_of_the_Main_Group_Elements_(Barron)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry the central science brown et al","Map: Chemistry - The Central Science (Brown et al.)","General_Chemistry","1","Map: Chemistry - The Central Science (Brown et al.)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Map%3A_Chemistry_-_The_Central_Science_(Brown_et_al.)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry the molecular nature of matter and change silberberg","Map: Chemistry - The Molecular Nature of Matter and Change (Silberberg)","General_Chemistry","1","Map: Chemistry - The Molecular Nature of Matter and Change (Silberberg)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Map%3A_Chemistry_-_The_Molecular_Nature_of_Matter_and_Change_(Silberberg)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemistry zumdahl and decoste","Map: Chemistry (Zumdahl and Decoste)","General_Chemistry","1","Map: Chemistry (Zumdahl and Decoste)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Map%3A_Chemistry_(Zumdahl_and_Decoste)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemometrics using r harvey","Chemometrics Using R (Harvey)","Analytical_Chemistry","1","Chemometrics Using R (Harvey)","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Chemometrics_Using_R_(Harvey)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"chemprime moore et al","Book: ChemPRIME (Moore et al)","General_Chemistry","2","Book: ChemPRIME (Moore et al);ChemPRIME (Moore et al.)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Book%3A_ChemPRIME_(Moore_et_al);https://chem.libretexts.org/Bookshelves/General_Chemistry/ChemPRIME_(Moore_et_al.)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"clue chemistry life the universe and everything","CLUE: Chemistry, Life, the Universe, and Everything","General_Chemistry","1","CLUE: Chemistry, Life, the Universe, and Everything","https://chem.libretexts.org/Bookshelves/General_Chemistry/CLUE%3A_Chemistry_Life_the_Universe_and_Everything","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"complex molecular synthesis salomon","Complex Molecular Synthesis (Salomon)","Organic_Chemistry","1","Complex Molecular Synthesis (Salomon)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Complex_Molecular_Synthesis_(Salomon)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"concept development studies in chemistry hutchinson","Concept Development Studies in Chemistry (Hutchinson)","General_Chemistry","1","Concept Development Studies in Chemistry (Hutchinson)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Concept_Development_Studies_in_Chemistry_(Hutchinson)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"concepts in biophysical chemistry tokmakoff","Concepts in Biophysical Chemistry (Tokmakoff)","Biological_Chemistry","1","Concepts in Biophysical Chemistry (Tokmakoff)","https://chem.libretexts.org/Bookshelves/Biological_Chemistry/Concepts_in_Biophysical_Chemistry_(Tokmakoff)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"crystallography in a nutshell ripoll and cano","Crystallography in a Nutshell (Ripoll and Cano)","Analytical_Chemistry","1","Crystallography in a Nutshell (Ripoll and Cano)","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Crystallography_in_a_Nutshell_(Ripoll_and_Cano)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"electron paramagnetic resonance jenschke","Electron Paramagnetic Resonance (Jenschke)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Electron Paramagnetic Resonance (Jenschke)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Electron_Paramagnetic_Resonance_(Jenschke)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"environmental toxicology van gestel et al","Environmental Toxicology (van Gestel et al.)","Environmental_Chemistry","1","Environmental Toxicology (van Gestel et al.)","https://chem.libretexts.org/Bookshelves/Environmental_Chemistry/Environmental_Toxicology_(van_Gestel_et_al.)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"essential organic chemistry bruice","Map: Essential Organic Chemistry (Bruice)","Organic_Chemistry","1","Map: Essential Organic Chemistry (Bruice)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Map%3A_Essential_Organic_Chemistry_(Bruice)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"fermentation in food chemistry graham","Fermentation in Food Chemistry (Graham)","Biological_Chemistry","1","Fermentation in Food Chemistry (Graham)","https://chem.libretexts.org/Bookshelves/Biological_Chemistry/Fermentation_in_Food_Chemistry_(Graham)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"free energy 1e snee","Free Energy 1e (Snee)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Free Energy 1e (Snee)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Free_Energy_1e_(Snee)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"fundamentals of general organic and biological chemistry libretexts","Fundamentals of General Organic and Biological Chemistry (LibreTexts)","Introductory_Chemistry","1","Fundamentals of General Organic and Biological Chemistry (LibreTexts)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Fundamentals_of_General_Organic_and_Biological_Chemistry_(LibreTexts)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"general chemistry an atoms first approach halpern","General Chemistry - An Atoms First Approach (Halpern)","General_Chemistry","1","General Chemistry - An Atoms First Approach (Halpern)","https://chem.libretexts.org/Bookshelves/General_Chemistry/General_Chemistry_-_An_Atoms_First_Approach_(Halpern)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"general chemistry petrucci et al","Map: General Chemistry (Petrucci et al.)","General_Chemistry","2","Map: General Chemistry (Petrucci et al.);Map: General Chemistry (Petrucci et al)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Map%3A_General_Chemistry_(Petrucci_et_al.);https://chem.libretexts.org/Bookshelves/General_Chemistry/Map%3A_General_Chemistry_(Petrucci_et_al)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"general chemistry principles patterns and applications averill","Map: General Chemistry: Principles, Patterns, and Applications (Averill)","General_Chemistry","1","Map: General Chemistry: Principles, Patterns, and Applications (Averill)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Book%3A_General_Chemistry%3A_Principles_Patterns_and_Applications_(Averill)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"general chemistry supplement eames","General Chemistry Supplement (Eames)","General_Chemistry","1","General Chemistry Supplement (Eames)","https://chem.libretexts.org/Bookshelves/General_Chemistry/General_Chemistry_Supplement_(Eames)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"geochemistry lower","Geochemistry (Lower)","Environmental_Chemistry","1","Geochemistry (Lower)","https://chem.libretexts.org/Bookshelves/Environmental_Chemistry/Geochemistry_(Lower)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"green chemistry and the ten commandments of sustainability manahan","Green Chemistry and the Ten Commandments of Sustainability (Manahan)","Environmental_Chemistry","1","Green Chemistry and the Ten Commandments of Sustainability (Manahan)","https://chem.libretexts.org/Bookshelves/Environmental_Chemistry/Green_Chemistry_and_the_Ten_Commandments_of_Sustainability_(Manahan)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"how to be a successful organic chemist sandtorv","Book: How to be a Successful Organic Chemist (Sandtorv)","Organic_Chemistry","1","Book: How to be a Successful Organic Chemist (Sandtorv)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Book%3A_How_to_be_a_Successful_Organic_Chemist_(Sandtorv)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"inorganic chemistry housecroft","Map: Inorganic Chemistry (Housecroft)","Inorganic_Chemistry","1","Map: Inorganic Chemistry (Housecroft)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Map%3A_Inorganic_Chemistry_(Housecroft)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"inorganic chemistry libretexts","Inorganic Chemistry (LibreTexts)","Inorganic_Chemistry","1","Inorganic Chemistry (LibreTexts)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Inorganic_Chemistry_(LibreTexts)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"inorganic chemistry saito","Inorganic Chemistry (Saito)","Inorganic_Chemistry","1","Inorganic Chemistry (Saito)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Inorganic_Chemistry_(Saito)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"inorganic coordination chemistry landskron","Inorganic Coordination Chemistry (Landskron)","Inorganic_Chemistry","1","Inorganic Coordination Chemistry (Landskron)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Inorganic_Coordination_Chemistry_(Landskron)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"instrumental analysis libretexts","Instrumental Analysis (LibreTexts)","Analytical_Chemistry","1","Instrumental Analysis (LibreTexts)","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Instrumental_Analysis_(LibreTexts)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"interactive chemistry moore zhou and garand","Interactive Chemistry (Moore, Zhou, and Garand)","General_Chemistry","1","Interactive Chemistry (Moore, Zhou, and Garand)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Interactive_Chemistry_(Moore_Zhou_and_Garand)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"intermediate physical organic morsch","Intermediate Physical Organic (Morsch)","Organic_Chemistry","1","Intermediate Physical Organic (Morsch)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Intermediate_Physical_Organic_(Morsch)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introduction to general chemistry malik","Introduction to General Chemistry (Malik)","Introductory_Chemistry","1","Introduction to General Chemistry (Malik)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introduction_to_General_Chemistry_(Malik)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introduction to inorganic chemistry wikibook","Introduction to Inorganic Chemistry (Wikibook)","Inorganic_Chemistry","1","Introduction to Inorganic Chemistry (Wikibook)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Introduction_to_Inorganic_Chemistry_(Wikibook)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introduction to organic and biochemistry malik","Introduction to Organic and Biochemistry (Malik)","Introductory_Chemistry","1","Introduction to Organic and Biochemistry (Malik)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introduction_to_Organic_and_Biochemistry_(Malik)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introduction to organic spectroscopy","Introduction to Organic Spectroscopy","Organic_Chemistry","1","Introduction to Organic Spectroscopy","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Introduction_to_Organic_Spectroscopy","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introduction to organometallic chemistry ghosh and balakrishna","Introduction to Organometallic Chemistry (Ghosh and Balakrishna)","Inorganic_Chemistry","1","Introduction to Organometallic Chemistry (Ghosh and Balakrishna)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Introduction_to_Organometallic_Chemistry_(Ghosh_and_Balakrishna)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introduction to solid state chemistry","Introduction to Solid State Chemistry","Inorganic_Chemistry","1","Introduction to Solid State Chemistry","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Introduction_to_Solid_State_Chemistry","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introductory chemistry ck 12","Introductory Chemistry (CK-12)","Introductory_Chemistry","1","Introductory Chemistry (CK-12)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(CK-12)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introductory chemistry corwin","Map:  Introductory Chemistry (Corwin)","Introductory_Chemistry","1","Map:  Introductory Chemistry (Corwin)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Map%3A__Introductory_Chemistry_(Corwin)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introductory chemistry libretexts","Introductory Chemistry (LibreTexts)","Introductory_Chemistry","1","Introductory Chemistry (LibreTexts)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"introductory chemistry online young","Introductory Chemistry Online! (Young)","Introductory_Chemistry","1","Introductory Chemistry Online! (Young)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Book%3A_Introductory_Chemistry_Online_(Young)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"key elements of green chemistry lucia","Key Elements of Green Chemistry (Lucia)","Environmental_Chemistry","1","Key Elements of Green Chemistry (Lucia)","https://chem.libretexts.org/Bookshelves/Environmental_Chemistry/Key_Elements_of_Green_Chemistry_(Lucia)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"logic of organic synthesis rao","Logic of Organic Synthesis (Rao)","Organic_Chemistry","1","Logic of Organic Synthesis (Rao)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Logic_of_Organic_Synthesis_(Rao)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"mathematical methods in chemistry levitus","Mathematical Methods in Chemistry (Levitus)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Mathematical Methods in Chemistry (Levitus)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Mathematical_Methods_in_Chemistry_(Levitus)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"medicines by design davis","Medicines by Design (Davis)","Biological_Chemistry","1","Medicines by Design (Davis)","https://chem.libretexts.org/Bookshelves/Biological_Chemistry/Medicines_by_Design_(Davis)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"molecular and atomic spectroscopy wenzel","Molecular and Atomic Spectroscopy (Wenzel)","Analytical_Chemistry","1","Molecular and Atomic Spectroscopy (Wenzel)","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Molecular_and_Atomic_Spectroscopy_(Wenzel)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"non equilibrium statistical mechanics cao","Non-Equilibrium Statistical Mechanics (Cao)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Non-Equilibrium Statistical Mechanics (Cao)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Non-Equilibrium_Statistical_Mechanics_(Cao)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"non isothermal kinetic methods arhangel skii et al","Non-Isothermal Kinetic Methods (Arhangel'skii et al.)","Analytical_Chemistry","1","Non-Isothermal Kinetic Methods (Arhangel'skii et al.)","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Non-Isothermal_Kinetic_Methods_(Arhangel'skii_et_al.)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"nonlinear and two dimensional spectroscopy tokmakoff","Nonlinear and Two-Dimensional Spectroscopy (Tokmakoff)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Nonlinear and Two-Dimensional Spectroscopy (Tokmakoff)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Nonlinear_and_Two-Dimensional_Spectroscopy_(Tokmakoff)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"nuclear magnetic resonance applications to organic chemistry roberts","Nuclear Magnetic Resonance: Applications to Organic Chemistry (Roberts)","Organic_Chemistry","1","Nuclear Magnetic Resonance: Applications to Organic Chemistry (Roberts)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Nuclear_Magnetic_Resonance%3A_Applications_to_Organic_Chemistry_(Roberts)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"oclue organic chemistry life the universe and everything copper and klymkowsky","OCLUE: Organic Chemistry, Life, the Universe, and Everything (Copper and Klymkowsky)","Organic_Chemistry","1","OCLUE: Organic Chemistry, Life, the Universe, and Everything (Copper and Klymkowsky)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/OCLUE%3A_Organic_Chemistry_Life_the_Universe_and_Everything_(Copper_and_Klymkowsky)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"online dictionary of crystallography iucr commission","Online Dictionary of Crystallography (IUCr Commission)","Inorganic_Chemistry","1","Online Dictionary of Crystallography (IUCr Commission)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Online_Dictionary_of_Crystallography_(IUCr_Commission)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry a carbonyl early approach mcmichael","Organic Chemistry - A ""Carbonyl Early"" Approach (McMichael)","Organic_Chemistry","1","Organic Chemistry - A ""Carbonyl Early"" Approach (McMichael)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Book%3A_Organic_Chemistry_-_A_Carbonyl_Early_Approach_(McMichael)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry bruice","Map: Organic Chemistry (Bruice)","Organic_Chemistry","1","Map: Organic Chemistry (Bruice)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Map%3A_Organic_Chemistry_(Bruice)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry i cortes","Organic Chemistry I (Cortes)","Organic_Chemistry","1","Organic Chemistry I (Cortes)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_I_(Cortes)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry i liu","Organic Chemistry I (Liu)","Organic_Chemistry","1","Organic Chemistry I (Liu)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_I_(Liu)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry i morsch et al","Organic Chemistry I (Morsch et al.)","Organic_Chemistry","1","Organic Chemistry I (Morsch et al.)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_I_(Morsch_et_al.)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry ii morsch et al","Organic Chemistry II (Morsch et al.)","Organic_Chemistry","1","Organic Chemistry II (Morsch et al.)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_II_(Morsch_et_al.)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry iii morsch et al","Organic Chemistry III (Morsch et al.)","Organic_Chemistry","1","Organic Chemistry III (Morsch et al.)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_III_(Morsch_et_al.)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
